ID,value
Fund 1-Fund 2,0.74180293
Fund 1-Fund 3,0.7256084
Fund 1-Fund 4,0.7649477
Fund 1-Fund 5,0.81979895
Fund 1-Fund 6,0.68151176
Fund 1-Fund 7,0.7281616
Fund 1-Fund 8,0.73276687
Fund 1-Fund 9,0.7875585
Fund 1-Fund 10,0.7714886
Fund 1-Fund 11,0.7523583
Fund 1-Fund 12,0.7543204
Fund 1-Fund 13,0.81911033
Fund 1-Fund 14,0.7854416
Fund 1-Fund 15,0.68754196
Fund 1-Fund 16,0.7701641
Fund 1-Fund 17,0.7728746
Fund 1-Fund 18,0.75274193
Fund 1-Fund 19,0.7547232
Fund 1-Fund 20,0.7526768
Fund 1-Fund 21,0.75241405
Fund 1-Fund 22,0.7492327
Fund 1-Fund 23,0.7297154
Fund 1-Fund 24,0.6829548
Fund 1-Fund 25,0.7796067
Fund 1-Fund 26,0.7544971
Fund 1-Fund 27,0.49269706
Fund 1-Fund 28,0.8323555
Fund 1-Fund 29,0.7271757
Fund 1-Fund 30,0.73228484
Fund 1-Fund 31,0.7639812
Fund 1-Fund 32,0.68916297
Fund 1-Fund 33,0.78031856
Fund 1-Fund 34,0.45465964
Fund 1-Fund 35,0.7357766
Fund 1-Fund 36,0.72195274
Fund 1-Fund 37,0.6295135
Fund 1-Fund 38,0.78800684
Fund 1-Fund 39,0.7535182
Fund 1-Fund 40,0.69177943
Fund 1-Fund 41,0.8227966
Fund 1-Fund 42,0.6910302
Fund 1-Fund 43,0.6762048
Fund 1-Fund 44,0.7467554
Fund 1-Fund 45,0.78231466
Fund 1-Fund 46,0.7722031
Fund 1-Fund 47,0.76699805
Fund 1-Fund 48,0.631689
Fund 1-Fund 49,0.752398
Fund 1-Fund 50,0.7767186
Fund 1-Fund 51,0.791354
Fund 1-Fund 52,0.7570476
Fund 1-Fund 53,0.7153846
Fund 1-Fund 54,0.81818527
Fund 1-Fund 55,0.76174664
Fund 1-Fund 56,0.75194603
Fund 1-Fund 57,0.6861175
Fund 1-Fund 58,0.7677735
Fund 1-Fund 59,0.77165943
Fund 1-Fund 60,0.8229698
Fund 1-Fund 61,0.7621147
Fund 1-Fund 62,0.8031776
Fund 1-Fund 63,0.78672105
Fund 1-Fund 64,0.79558855
Fund 1-Fund 65,0.7682147
Fund 1-Fund 66,0.75154847
Fund 1-Fund 67,0.79413915
Fund 1-Fund 68,0.7118275
Fund 1-Fund 69,0.7487349
Fund 1-Fund 70,0.730387
Fund 1-Fund 71,0.74821585
Fund 1-Fund 72,0.7746424
Fund 1-Fund 73,0.7627442
Fund 1-Fund 74,0.77425843
Fund 1-Fund 75,0.78926235
Fund 1-Fund 76,0.7429043
